feature,importance,std,test_rows
cheque_count_6m_g58,0.0013306121324422164,8.834968141153435e-05,5000
k_var_disc_share_1m_g44,0.0013215744521667152,0.002013869320563986,5000
promo_dependency,0.0012814117206926313,0.0005267669252180667,5000
k_var_sku_price_1m_g24,0.0012627641527920032,0.0012862167280366405,5000
sale_sum_12m_g24,0.001226866188560355,0.0006990031659437161,5000
sale_sum_6m_g44,0.0011864963780801319,0.002558229032657845,5000
sale_sum_3m_g26,0.001127165737301541,0.0014410604011889168,5000
sale_count_3m_g57,0.0011145577237997746,0.0007445515302716483,5000
k_var_count_per_cheque_6m_g44,0.0010610595927314874,0.00012804465875872127,5000
k_var_disc_share_3m_g34,0.0010382831230292568,0.0008030195113582312,5000
sale_count_6m_g33,0.0010173013405217156,0.0004941387494467884,5000
k_var_sku_price_6m_g42,0.0010056292324138114,0.0024844707150329434,5000
cheque_count_12m_g58,0.00099528669881567,2.407196749770525e-05,5000
k_var_disc_share_15d_g24,0.0009854944339531592,0.0023234993458897267,5000
k_var_disc_share_6m_g27,0.0009560192930065867,0.0027119534769948638,5000
k_var_sku_price_6m_g24,0.0008541843049345276,0.0029117542646953576,5000
sale_sum_6m_g33,0.0008324059253070823,0.002707999791821473,5000
k_var_disc_share_3m_g40,0.0008081803631671223,0.00040843122823758205,5000
k_var_sku_price_6m_g26,0.0008039918316185857,0.0016264343119182663,5000
crazy_purchases_goods_count_12m,0.0007903949520158526,0.0011607679027537318,5000
sale_sum_3m_g32,0.0006188321246753439,0.0003057286565876193,5000
k_var_count_per_cheque_6m_g32,0.0005948105907505515,0.0007738457027444088,5000
cheque_count_6m_g45,0.00048607773716694697,0.0017398197140303263,5000
purchase_variability,0.0004596791898516782,0.0032541011697067254,5000
k_var_sku_price_15d_g34,0.0004387382563427721,0.0022367073911109666,5000
gender,0.0003887855780044779,0.00027080881438076106,5000
sale_count_6m_g44,0.0003266104046318029,0.00010076726393566005,5000
main_format,0.000290574897437471,0.002098512201604535,5000
k_var_sku_price_6m_g48,0.0002483707560908104,0.0019087583970338617,5000
cheque_count_12m_g56,0.00016795711920179526,0.0006541923482648453,5000
response_viber,0.00016090231429662788,0.00043288750113028426,5000
cheque_count_3m_g21,0.00013476838199934227,0.0021988705463414915,5000
sale_count_6m_g57,0.00011152818554862239,0.001617882184622013,5000
sale_sum_6m_g32,0.00010122307558795007,0.0006614945623791658,5000
k_var_sku_price_3m_g24,9.719860667662533e-05,0.001188409822439234,5000
cheque_count_6m_g57,5.41571716737276e-05,0.002794023301335389,5000
k_var_sku_price_6m_g41,2.4044297493891476e-05,9.419703220391364e-05,5000
sale_count_6m_g54,-1.9005566202231112e-05,0.0016629766120440277,5000
cheque_count_12m_g52,-2.0076136174392023e-05,0.0012888246005995972,5000
cheque_count_12m_g33,-9.017941840719357e-05,0.005686217087349774,5000
k_var_disc_share_6m_g46,-0.00010034009249779037,0.0037596143775615524,5000
k_var_disc_share_3m_g48,-0.00018998002932722746,0.0005028563753626125,5000
k_var_disc_share_6m_g54,-0.000202107778716309,0.0004195395846232804,5000
k_var_count_per_cheque_6m_g27,-0.00036146586457207197,0.0006865153500004977,5000
k_var_days_between_visits_3m,-0.0003658238975728483,0.0007227688642466316,5000
k_var_days_between_visits_1m,-0.0003993476426280863,0.004575575387339964,5000
k_var_sku_price_3m_g41,-0.00043328146411493923,0.003909188532744868,5000
sale_count_12m_g32,-0.0005430335100783898,0.0009424814511573899,5000
